Nr.,Datum,Ort,Land,Deliktsart,"PMK-rechts"
336,13.12.2016,Erfurt,TH,Gefährliche Körperverletzung § 224 StGB,X
337,14.12.2016,Neuruppin,BB,Nötigung § 240 StGB,X
338,14.12.2016,Sömmerda,TH,Körperverletzung § 223 StGB,X
339,15.12.2016,Pforzheim,BW,"Störung des öffentlichen Friedens durchAndrohung von Straftaten § 126 StGB",X
340,16.12.2016,Halle/Saale,AN,Beleidigung § 185 StGB,X
341,16.12.2016,Lauterbach,BW,Volksverhetzung § 130 StGB,X
342,16.12.2016,München,BY,Sachbeschädigung § 303 StGB,X
343,17.12.2016,Cottbus,BB,Raub § 249 StGB,X
344,17.12.2016,Berlin,BR,Sachbeschädigung § 303 StGB,X
345,17.12.2016,Altötting,BY,Körperverletzung § 223 StGB,X
346,17.12.2016,Rostock,MV,Körperverletzung § 223 StGB,X
347,17.12.2016,Sebnitz,SN,Körperverletzung § 223 StGB,X
348,18.12.2016,Cottbus,BB,Gefährliche Körperverletzung § 224 StGB,X
349,18.12.2016,Senftenberg,BB,Beleidigung § 185 StGB,X
350,18.12.2016,Zwickau,SN,Gefährliche Körperverletzung § 224 StGB,X
351,19.12.2016,Berlin,BR,"Öffentliche Aufforderung zu Straftaten§ 111 StGB",X
352,19.12.2016,Kaufbeuren,BY,Beleidigung § 185 StGB,X
353,19.12.2016,Kaufbeuren,BY,Volksverhetzung § 130 StGB,X
354,19.12.2016,Ganderkesee,NI,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
355,19.12.2016,Ganderkesee,NI,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
Nr.,Datum,Ort,Land,Deliktsart,"PMK-rechts"
356,19.12.2016,Friedland,NI,"Verfassungsfeindliche Verunglimpfung vonVerfassungsorganen § 90b StGB",
357,19.12.2016,Bad Kreuznach,RP,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
358,20.12.2016,Rathenow,BB,"Gesetz über Versammlungen und Aufzüge(VersG)",X
359,20.12.2016,Cottbus,BB,Sachbeschädigung § 303 StGB,X
360,20.12.2016,Eisenhüttenstadt,BB,Volksverhetzung § 130 StGB,X
361,20.12.2016,Berlin,BR,Beleidigung § 185 StGB,
362,20.12.2016,Kernen im Remstal,BW,Volksverhetzung § 130 StGB,X
363,20.12.2016,Mössingen,BW,Volksverhetzung § 130 StGB,X
364,20.12.2016,Gundelsheim,BY,Bedrohung § 241 StGB,X
365,20.12.2016,Lüchow,NI,Volksverhetzung § 130 StGB,X
366,20.12.2016,Hildesheim,NI,Sachbeschädigung § 303 StGB,X
367,20.12.2016,Sonneberg,TH,Volksverhetzung § 130 StGB,X
368,21.12.2016,Welzow,BB,Volksverhetzung § 130 StGB,X
369,21.12.2016,Nürnberg,BY,Volksverhetzung § 130 StGB,X
370,21.12.2016,Oldenburg (Oldenburg),NI,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
371,21.12.2016,Bielefeld,NW,Volksverhetzung § 130 StGB,X
372,21.12.2016,Kiel,SH,Nötigung § 240 StGB,X
373,21.12.2016,Leipzig,SN,"Öffentliche Aufforderung zu Straftaten§ 111 StGB",X
374,21.12.2016,Sehma,SN,Volksverhetzung § 130 StGB,X
375,21.12.2016,Pirna,SN,Beleidigung § 185 StGB,X
376,21.12.2016,Chemnitz,SN,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
377,21.12.2016,Unterwellenborn,TH,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
378,22.12.2016,Magdeburg,AN,Beleidigung § 185 StGB,X
379,22.12.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
380,22.12.2016,Berlin,BR,Bedrohung § 241 StGB,X
381,22.12.2016,Neustetten,BW,Volksverhetzung § 130 StGB,X
382,22.12.2016,Vilshofen,BY,Volksverhetzung § 130 StGB,X
383,22.12.2016,Poppenricht,BY,Beleidigung § 185 StGB,
384,22.12.2016,Hainburg,HE,Volksverhetzung § 130 StGB,X
385,22.12.2016,Oldenburg (Oldenburg),NI,Volksverhetzung § 130 StGB,X
386,22.12.2016,Tostedt,NI,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK-rechts"
387,22.12.2016,Norderstedt,SH,Sachbeschädigung § 303 StGB,X
388,22.12.2016,Norderstedt,SH,Sachbeschädigung § 303 StGB,X
389,23.12.2016,Neubrandenburg,MV,Körperverletzung § 223 StGB,X
390,24.12.2016,Altötting,BY,Volksverhetzung § 130 StGB,X
391,26.12.2016,Halle/Saale,AN,Gefährliche Körperverletzung § 224 StGB,X
392,26.12.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
393,26.12.2016,Hohenfels,BW,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
394,26.12.2016,Rhauderfehn,NI,Volksverhetzung § 130 StGB,X
395,27.12.2016,Berlin,BR,Sachbeschädigung § 303 StGB,
396,27.12.2016,Krün,BY,Volksverhetzung § 130 StGB,X
397,27.12.2016,Erlangen,BY,Sachbeschädigung § 303 StGB,X
398,27.12.2016,Lüneburg,NI,Volksverhetzung § 130 StGB,X
399,28.12.2016,Verden (Aller),NI,Sachbeschädigung § 303 StGB,X
400,29.12.2016,Prenzlau,BB,Gefährliche Körperverletzung § 224 StGB,X
401,29.12.2016,Senftenberg,BB,Körperverletzung § 223 StGB,X
402,29.12.2016,Bernau bei Berlin,BB,Volksverhetzung § 130 StGB,X
403,29.12.2016,Barth,MV,Bedrohung § 241 StGB,X
404,29.12.2016,Leipzig,SN,Volksverhetzung § 130 StGB,X
405,30.12.2016,Oschersleben/Bode,AN,Körperverletzung § 223 StGB,X
406,30.12.2016,Kiel,SH,Nötigung § 240 StGB,X
407,30.12.2016,Eisenach,TH,Beleidigung § 185 StGB,X
408,31.12.2016,Altdorf bei Nürnberg,BY,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
409,31.12.2016,Kiel,SH,Nötigung § 240 StGB,X
410,31.12.2016,Mildstedt,SH,Volksverhetzung § 130 StGB,X
411,31.12.2016,Hartmannsdorf,SN,Gefährliche Körperverletzung § 224 StGB,X
