Nr.,Datum,Ort,Land,Deliktsart,"PMK-rechts"
81,15.10.2016,Oschersleben/Bode,AN,Gefährliche Körperverletzung § 224 StGB,X
82,15.10.2016,Eberswalde,BB,Volksverhetzung § 130 StGB,X
83,15.10.2016,Berlin,BR,Beleidigung § 185 StGB,X
84,15.10.2016,Baden-Baden,BW,Volksverhetzung § 130 StGB,X
85,15.10.2016,Bremen,HB,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
86,15.10.2016,Sottrum,NI,Körperverletzung § 223 StGB,
87,15.10.2016,Leck,SH,Schwerer Raub § 250 StGB,X
88,15.10.2016,Dresden,SN,Gefährliche Körperverletzung § 224 StGB,
89,16.10.2016,Weißenfels,AN,Gefährliche Körperverletzung § 224 StGB,X
90,16.10.2016,Cottbus,BB,Gefährliche Körperverletzung § 224 StGB,X
91,16.10.2016,Sottrum,NI,Gefährliche Körperverletzung § 224 StGB,
92,16.10.2016,Varel,NI,"Öffentliche Aufforderung zu Straftaten§ 111 StGB",X
93,16.10.2016,Schloß Holte-Stukenbrock,NW,Gefährliche Körperverletzung § 224 StGB,X
94,16.10.2016,Dresden,SN,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
95,17.10.2016,Berlin,BR,Volksverhetzung § 130 StGB,
96,17.10.2016,Überlingen,BW,Volksverhetzung § 130 StGB,X
97,17.10.2016,Langquaid,BY,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK-rechts"
98,17.10.2016,Güstrow,MV,Beleidigung § 185 StGB,X
99,18.10.2016,Burg bei Magdeburg,AN,Gefährliche Körperverletzung § 224 StGB,X
100,18.10.2016,Burg bei Magdeburg,AN,Körperverletzung § 223 StGB,X
101,18.10.2016,Bruchhausen-Vilsen,NI,"Öffentliche Aufforderung zu Straftaten§ 111 StGB",X
102,18.10.2016,Ellefeld,SN,"Öffentliche Aufforderung zu Straftaten§ 111 StGB",X
103,19.10.2016,Senftenberg,BB,Volksverhetzung § 130 StGB,X
104,19.10.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
105,20.10.2016,Magdeburg,AN,Körperverletzung § 223 StGB,X
106,20.10.2016,Treuenbrietzen,BB,Volksverhetzung § 130 StGB,X
107,20.10.2016,Nürnberg,BY,Volksverhetzung § 130 StGB,X
108,21.10.2016,Prenzlau,BB,Beleidigung § 185 StGB,X
