Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
77,09.01.2016,Dortmund,NW,Volksverhetzung § 130 StGB,X
78,09.01.2016,Dresden,SN,Körperverletzung § 223 StGB,X
79,09.01.2016,Adorf,SN,Volksverhetzung § 130 StGB,X
80,10.01.2016,Guben,BB,Beleidigung § 185 StGB,X
81,10.01.2016,Hilzingen,BW,Volksverhetzung § 130 StGB,X
82,10.01.2016,Schwetzingen,BW,Volksverhetzung § 130 StGB,X
83,10.01.2016,Kandern,BW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
84,10.01.2016,Ansbach,BY,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
85,10.01.2016,Traunstein,BY,Volksverhetzung § 130 StGB,X
86,10.01.2016,Hirschau,BY,Volksverhetzung § 130 StGB,X
87,10.01.2016,Hannover,NI,Volksverhetzung § 130 StGB,X
88,10.01.2016,Wingst,NI,Volksverhetzung § 130 StGB,X
89,10.01.2016,Neustadt am Rübenberge,NI,Volksverhetzung § 130 StGB,X
90,10.01.2016,Halle (Westfalen),NW,Sachbeschädigung § 303 StGB,X
91,10.01.2016,Rheinberg,NW,Volksverhetzung § 130 StGB,X
92,10.01.2016,Rendsburg,SH,Körperverletzung § 223 StGB,X
93,10.01.2016,Nordhausen,TH,Sachbeschädigung § 303 StGB,X
94,11.01.2016,Berlin,BR,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
95,11.01.2016,Berlin,BR,Volksverhetzung § 130 StGB,
96,11.01.2016,Mössingen,BW,Volksverhetzung § 130 StGB,X
97,11.01.2016,Marktoberdorf,BY,Volksverhetzung § 130 StGB,X
98,11.01.2016,Aschaffenburg,BY,Volksverhetzung § 130 StGB,X
99,11.01.2016,Aschaffenburg,BY,Volksverhetzung § 130 StGB,X
100,11.01.2016,Hösbach,BY,Volksverhetzung § 130 StGB,X
101,11.01.2016,Waging am See,BY,Volksverhetzung § 130 StGB,X
102,11.01.2016,Mörfelden­Walldorf,HE,Volksverhetzung § 130 StGB,X
103,11.01.2016,Waldsee,RP,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
104,11.01.2016,Norderstedt,SH,Volksverhetzung § 130 StGB,X
105,11.01.2016,Bexbach,SL,Volksverhetzung § 130 StGB,X
106,11.01.2016,Tholey,SL,Volksverhetzung § 130 StGB,X
107,11.01.2016,Dresden,SN,"Gefährliche Körperverletzung§ 224 StGB",X
108,11.01.2016,Langenbach,SN,Volksverhetzung § 130 StGB,X
109,11.01.2016,Reichenberg,SN,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
110,12.01.2016,Frankfurt/Oder,BB,Volksverhetzung § 130 StGB,X
111,12.01.2016,Schwäbisch Hall,BW,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",X
112,12.01.2016,Vilshofen,BY,Volksverhetzung § 130 StGB,X
113,12.01.2016,Schwabach,BY,Volksverhetzung § 130 StGB,X
114,12.01.2016,Dachau,BY,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
115,12.01.2016,Ergolding,BY,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
116,12.01.2016,Landshut,BY,Volksverhetzung § 130 StGB,X
117,12.01.2016,Straubing,BY,Volksverhetzung § 130 StGB,X
118,12.01.2016,Leiblfing,BY,Volksverhetzung § 130 StGB,X
119,12.01.2016,Bruchköbel,HE,Volksverhetzung § 130 StGB,X
120,12.01.2016,Willingen (Upland),HE,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",X
121,12.01.2016,Hildesheim,NI,Volksverhetzung § 130 StGB,X
122,12.01.2016,Lehrte,NI,Volksverhetzung § 130 StGB,X
123,12.01.2016,Landau in der Pfalz,RP,Volksverhetzung § 130 StGB,X
124,12.01.2016,Flensburg,SH,Beleidigung § 185 StGB,X
125,12.01.2016,Schwarzenbek,SH,Körperverletzung § 223 StGB,X
126,13.01.2016,Berlin,BR,Beleidigung § 185 StGB,
127,13.01.2016,Berlin,BR,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",X
128,13.01.2016,Hallbergmoos,BY,Volksverhetzung § 130 StGB,X
129,13.01.2016,Nürnberg,BY,Volksverhetzung § 130 StGB,X
130,13.01.2016,Bremen,HB,"Gefährliche Körperverletzung§ 224 StGB",X
