Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
334,02.02.2016,Lauf an der Pegnitz,BY,Volksverhetzung § 130 StGB,X
335,02.02.2016,Landshut,BY,Volksverhetzung § 130 StGB,X
336,02.02.2016,München,BY,Volksverhetzung § 130 StGB,X
337,02.02.2016,Grabow,MV,Bedrohung § 241 StGB,X
338,02.02.2016,Hinte,NI,Brandstiftung § 306 StGB,X
339,02.02.2016,Krummhörn,NI,Brandstiftung § 306 StGB,X
340,02.02.2016,Krummhörn,NI,Brandstiftung § 306 StGB,X
341,02.02.2016,Ronnenberg,NI,Volksverhetzung § 130 StGB,X
342,02.02.2016,Hannover,NI,Volksverhetzung § 130 StGB,X
343,02.02.2016,Sankt Michaelisdonn,SH,Beleidigung § 185 StGB,X
344,02.02.2016,Dresden,SN,Bedrohung § 241 StGB,X
345,03.02.2016,Berlin,BR,Körperverletzung § 223 StGB,
346,03.02.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
347,03.02.2016,Moosthenning,BY,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
348,03.02.2016,Krefeld,NW,Volksverhetzung § 130 StGB,X
349,03.02.2016,Zweibrücken,RP,Volksverhetzung § 130 StGB,X
350,04.02.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
351,04.02.2016,Berlin,BR,"Gesetz zum Schutz der Jugend inder Öffentlichkeit (JÖSchG)",X
352,04.02.2016,Thannhausen,BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
353,04.02.2016,Zwiesel,BY,"Gemeinschädliche Sachbeschä­digung § 304 StGB",X
354,04.02.2016,Pottenstein,BY,Volksverhetzung § 130 StGB,X
355,04.02.2016,Ochsenfurt,BY,Volksverhetzung § 130 StGB,X
356,04.02.2016,Garbsen,NI,Volksverhetzung § 130 StGB,X
357,04.02.2016,Rheinberg,NW,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
358,05.02.2016,Cottbus,BB,Bedrohung § 241 StGB,X
359,05.02.2016,Spremberg,BB,Sachbeschädigung § 303 StGB,X
360,05.02.2016,Berlin,BR,Körperverletzung § 223 StGB,X
361,05.02.2016,Selb,BY,Volksverhetzung § 130 StGB,X
362,05.02.2016,Landau an der Isar,BY,"Gefährliche Körperverletzung§ 224 StGB",X
363,05.02.2016,Schwerin,MV,"Gefährliche Körperverletzung§ 224 StGB",X
364,05.02.2016,Crimmitschau,SN,"Gefährliche Körperverletzung§ 224 StGB",X
365,06.02.2016,Schönebeck/Elbe,ST,"Gefährliche Körperverletzung§ 224 StGB",X
366,06.02.2016,Dessau,ST,"Gefährliche Körperverletzung§ 224 StGB",X
367,06.02.2016,Berlin,BR,Versammlungsgesetz (VersG),X
368,06.02.2016,Gröbenzell,BY,Sachbeschädigung § 303 StGB,X
369,06.02.2016,München,BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
370,06.02.2016,Neu­Ulm,BY,Volksverhetzung § 130 StGB,X
371,06.02.2016,Rosenheim,BY,Volksverhetzung § 130 StGB,X
372,06.02.2016,München,BY,Volksverhetzung § 130 StGB,X
373,06.02.2016,Kempten (Allgäu),BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
374,06.02.2016,Taufkirchen,BY,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
375,06.02.2016,Hannover,NI,Volksverhetzung § 130 StGB,X
376,06.02.2016,Bautzen,SN,"Gefährliche Körperverletzung§ 224 StGB",X
377,07.02.2016,Cottbus,BB,"Gefährliche Körperverletzung§ 224 StGB",X
378,07.02.2016,Berlin,BR,Bedrohung § 241 StGB,X
379,07.02.2016,Esslingen am Neckar,BW,Volksverhetzung § 130 StGB,X
380,07.02.2016,Marktleugast,BY,Volksverhetzung § 130 StGB,X
381,07.02.2016,Karlskron,BY,Volksverhetzung § 130 StGB,X
382,07.02.2016,Reichertshausen,BY,Volksverhetzung § 130 StGB,
383,07.02.2016,Ingolstadt,BY,"Gefährliche Körperverletzung§ 224 StGB",X
384,07.02.2016,Ingolstadt,BY,Körperverletzung § 223 StGB,X
385,07.02.2016,Ingolstadt,BY,Beleidigung § 185 StGB,X
386,07.02.2016,Piding,BY,Volksverhetzung § 130 StGB,X
387,07.02.2016,Rendsburg,SH,Volksverhetzung § 130 StGB,X
388,08.02.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
389,08.02.2016,Tübingen,BW,Volksverhetzung § 130 StGB,X
390,08.02.2016,Bad Waldsee,BW,Volksverhetzung § 130 StGB,X
391,08.02.2016,Walldürn,BW,Volksverhetzung § 130 StGB,X
392,08.02.2016,Bietigheim­Bissingen,BW,Volksverhetzung § 130 StGB,X
393,08.02.2016,Schnaittach,BY,Volksverhetzung § 130 StGB,X
394,08.02.2016,Waldmünchen,BY,Volksverhetzung § 130 StGB,X
395,09.02.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
396,09.02.2016,Leonberg,BW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
397,09.02.2016,Deggendorf,BY,Volksverhetzung § 130 StGB,X
398,09.02.2016,Straubing,BY,Volksverhetzung § 130 StGB,X
399,09.02.2016,Viernheim,HE,Volksverhetzung § 130 StGB,X
400,09.02.2016,Ellerbek,SH,Volksverhetzung § 130 StGB,X
401,09.02.2016,Sankt Wendel,SL,Volksverhetzung § 130 StGB,X
402,09.02.2016,Görlitz,SN,Volksverhetzung § 130 StGB,X
403,09.02.2016,Mühlhausen,TH,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
404,09.02.2016,Rodeberg,TH,Volksverhetzung § 130 StGB,X
405,10.02.2016,Kleinmachnow,BB,Volksverhetzung § 130 StGB,X
406,10.02.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
407,10.02.2016,Berlin,BR,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
408,10.02.2016,Berlin,BR,Volksverhetzung § 130 StGB,
409,10.02.2016,Freising,BY,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",X
410,10.02.2016,"Neumarkt in der Ober­pfalz",BY,Volksverhetzung § 130 StGB,X
411,10.02.2016,Viernheim,HE,Bedrohung § 241 StGB,X
412,10.02.2016,Greifswald,MV,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
413,10.02.2016,Essen,NW,Volksverhetzung § 130 StGB,X
414,10.02.2016,Erfurt,TH,Körperverletzung § 223 StGB,X
415,11.02.2016,Lahr/Schwarzwald,BW,"Gefährliche Körperverletzung§ 224 StGB",X
416,11.02.2016,Weilheim in Oberbayern,BY,Sachbeschädigung § 303 StGB,X
417,11.02.2016,Ottobrunn,BY,Sachbeschädigung § 303 StGB,X
418,11.02.2016,Kleinwallstadt,BY,Volksverhetzung § 130 StGB,X
419,11.02.2016,Straubing,BY,Volksverhetzung § 130 StGB,X
420,11.02.2016,Vöhl,HE,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
421,11.02.2016,Bersenbrück,NI,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
422,11.02.2016,Moers,NW,Volksverhetzung § 130 StGB,X
423,11.02.2016,Viersen,NW,Volksverhetzung § 130 StGB,X
424,11.02.2016,Heikendorf,SH,Sachbeschädigung § 303 StGB,X
425,11.02.2016,Elmshorn,SH,Volksverhetzung § 130 StGB,X
426,11.02.2016,Kölleda,TH,"Räuberische Erpressung § 255StGB",
427,12.02.2016,Rathenow,BB,"Gefährliche Körperverletzung§ 224 StGB",X
428,12.02.2016,Berlin,BR,Sachbeschädigung § 303 StGB,X
429,12.02.2016,Fridingen an der Donau,BW,Volksverhetzung § 130 StGB,X
430,12.02.2016,Wolfratshausen,BY,Volksverhetzung § 130 StGB,X
431,12.02.2016,Pretzfeld,BY,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
432,12.02.2016,Kelheim,BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
433,12.02.2016,Wolfhagen,HE,Volksverhetzung § 130 StGB,X
434,12.02.2016,Duisburg,NW,Volksverhetzung § 130 StGB,X
435,12.02.2016,Bad Lausick,SN,Volksverhetzung § 130 StGB,X
436,12.02.2016,Dresden,SN,Körperverletzung § 223 StGB,
437,12.02.2016,Rudolstadt,TH,Sachbeschädigung § 303 StGB,X
438,12.02.2016,Rudolstadt,TH,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
439,13.02.2016,Merseburg/Saale,ST,Körperverletzung § 223 StGB,X
440,13.02.2016,Rathenow,BB,"Gefährliche Körperverletzung§ 224 StGB",X
441,13.02.2016,Heilbronn,BW,Volksverhetzung § 130 StGB,X
442,13.02.2016,Bad Schandau,SN,Volksverhetzung § 130 StGB,X
443,14.02.2016,Cottbus,BB,"Gefährliche Körperverletzung§ 224 StGB",X
444,14.02.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
445,14.02.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
446,14.02.2016,Berlin,BR,"Öffentliche Aufforderung zuStraftaten § 111 StGB",
447,14.02.2016,"Bad Neustadt an derSaale",BY,Bedrohung § 241 StGB,X
448,14.02.2016,Ochsenfurt,BY,Volksverhetzung § 130 StGB,X
449,14.02.2016,Lichtenau,BY,Volksverhetzung § 130 StGB,X
450,14.02.2016,Isenbüttel,NI,Volksverhetzung § 130 StGB,
451,14.02.2016,Münster,NW,Volksverhetzung § 130 StGB,X
452,14.02.2016,Chemnitz,SN,"Gefährliche Körperverletzung§ 224 StGB",X
453,14.02.2016,Bad Blankenburg,TH,Bedrohung § 241 StGB,
454,15.02.2016,Berlin,BR,"Gefährliche Körperverletzung§ 224 StGB",X
455,15.02.2016,Berlin,BR,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
456,15.02.2016,Berlin,BR,Sachbeschädigung § 303 StGB,X
457,15.02.2016,Hamburg,HH,Bedrohung § 241 StGB,
458,15.02.2016,Südbrookmerland,NI,Volksverhetzung § 130 StGB,X
459,15.02.2016,Krefeld,NW,Volksverhetzung § 130 StGB,X
460,15.02.2016,Bodenheim,RP,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
461,15.02.2016,Idar­Oberstein,RP,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
462,15.02.2016,Dresden,SN,"Gefährliche Körperverletzung§ 224 StGB",X
463,15.02.2016,Bischofferode,TH,Volksverhetzung § 130 StGB,X
464,16.02.2016,Berlin,BR,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",X
465,16.02.2016,Schrozberg,BW,Volksverhetzung § 130 StGB,X
466,16.02.2016,Pfarrkirchen,BY,Nötigung § 240 StGB,X
467,16.02.2016,Buchloe,BY,Volksverhetzung § 130 StGB,X
468,16.02.2016,Bremerhaven,HB,Volksverhetzung § 130 StGB,X
469,16.02.2016,Bergisch Gladbach,NW,Volksverhetzung § 130 StGB,X
470,16.02.2016,Eutin,SH,Nötigung § 240 StGB,X
471,16.02.2016,Lübeck,SH,Volksverhetzung § 130 StGB,X
472,16.02.2016,Glückstadt,SH,Volksverhetzung § 130 StGB,X
473,16.02.2016,Triptis,TH,Volksverhetzung § 130 StGB,X
474,17.02.2016,Eisenhüttenstadt,BB,Volksverhetzung § 130 StGB,X
475,17.02.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
476,17.02.2016,Berlin,BR,"Verfassungsfeindliche Verun­glimpfung von Verfassungsorga­nen § 90b StGB",X
477,17.02.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
478,17.02.2016,Hückelhoven,NW,"Gefährliche Körperverletzung§ 224 StGB",X
479,17.02.2016,Duisburg,NW,Volksverhetzung § 130 StGB,X
480,17.02.2016,Malente,SH,Volksverhetzung § 130 StGB,X
481,17.02.2016,Dresden,SN,Volksverhetzung § 130 StGB,X
482,17.02.2016,Coswig,SN,Volksverhetzung § 130 StGB,X
483,18.02.2016,Northeim,NI,Volksverhetzung § 130 StGB,X
484,18.02.2016,Eschweiler,NW,Volksverhetzung § 130 StGB,X
485,18.02.2016,Köln,NW,Volksverhetzung § 130 StGB,X
486,18.02.2016,Mönchengladbach,NW,Volksverhetzung § 130 StGB,X
487,18.02.2016,Kiel,SH,Volksverhetzung § 130 StGB,X
488,18.02.2016,Frauenstein,SN,Nötigung § 240 StGB,X
489,18.02.2016,Frauenstein,SN,Versammlungsgesetz (VersG),X
490,18.02.2016,Frauenstein,SN,Nötigung § 240 StGB,X
491,19.02.2016,Magdeburg,ST,Körperverletzung § 223 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
492,19.02.2016,Neuhardenberg,BB,Körperverletzung § 223 StGB,X
493,19.02.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
494,19.02.2016,Berlin,BR,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",X
495,19.02.2016,Berlin,BR,Beleidigung § 185 StGB,X
496,19.02.2016,Werbach,BW,Volksverhetzung § 130 StGB,X
497,19.02.2016,Pfarrkirchen,BY,"Gemeinschädliche Sachbeschä­digung § 304 StGB",X
498,19.02.2016,Rain,BY,Volksverhetzung § 130 StGB,X
499,19.02.2016,München,BY,Volksverhetzung § 130 StGB,X
500,19.02.2016,Griesheim,HE,Volksverhetzung § 130 StGB,X
501,19.02.2016,Hildesheim,NI,Sachbeschädigung § 303 StGB,X
502,19.02.2016,Lennestadt,NW,Volksverhetzung § 130 StGB,X
503,19.02.2016,Datteln,NW,Volksverhetzung § 130 StGB,X
504,19.02.2016,"Neustadt an der Wein­straße",RP,Sachbeschädigung § 303 StGB,X
505,19.02.2016,Wittlich,RP,"Gefährliche Körperverletzung§ 224 StGB",X
506,19.02.2016,Merkers­Kieselbach,TH,Sachbeschädigung § 303 StGB,X
507,20.02.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
508,20.02.2016,Rottenburg am Neckar,BW,Volksverhetzung § 130 StGB,X
509,20.02.2016,Obergünzburg,BY,Versammlungsgesetz (VersG),X
510,20.02.2016,Lichtenau,BY,Volksverhetzung § 130 StGB,X
511,20.02.2016,Eggstätt,BY,Volksverhetzung § 130 StGB,X
512,20.02.2016,Obergünzburg,BY,Versammlungsgesetz (VersG),X
513,20.02.2016,Brensbach,HE,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
514,20.02.2016,Osnabrück,NI,Volksverhetzung § 130 StGB,X
515,20.02.2016,Duderstadt,NI,Volksverhetzung § 130 StGB,X
516,20.02.2016,Borgholzhausen,NW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
517,20.02.2016,Blomberg,NW,Volksverhetzung § 130 StGB,X
518,20.02.2016,Herne,NW,Volksverhetzung § 130 StGB,X
519,20.02.2016,Lübeck,SH,Volksverhetzung § 130 StGB,X
520,20.02.2016,Wesselburen,SH,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
521,20.02.2016,Leipzig,SN,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
522,20.02.2016,Glashütte,SN,Volksverhetzung § 130 StGB,X
523,20.02.2016,Leipzig,SN,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",X
524,21.02.2016,Berlin,BR,Beleidigung § 185 StGB,X
525,21.02.2016,Berlin,BR,"Belohnung und Billigung vonStraftaten § 140 StGB",X
526,21.02.2016,Stuttgart,BW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
527,21.02.2016,Lahr/Schwarzwald,BW,Volksverhetzung § 130 StGB,X
528,21.02.2016,Wielenbach,BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
529,21.02.2016,Weilheim in Oberbayern,BY,Sachbeschädigung § 303 StGB,X
530,21.02.2016,Wielenbach,BY,Sachbeschädigung § 303 StGB,X
531,21.02.2016,Fahrenzhausen,BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
532,21.02.2016,Hamburg,HH,Volksverhetzung § 130 StGB,X
533,21.02.2016,Blomberg,NW,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",
534,21.02.2016,Kirchlengern,NW,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
535,21.02.2016,Essen,NW,Körperverletzung § 223 StGB,
536,21.02.2016,Gelsenkirchen,NW,Volksverhetzung § 130 StGB,X
537,22.02.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
538,22.02.2016,Baden­Baden,BW,Volksverhetzung § 130 StGB,X
539,22.02.2016,Burgau,BY,Nötigung § 240 StGB,X
540,22.02.2016,Bremerhaven,HB,Volksverhetzung § 130 StGB,X
541,22.02.2016,Hannover,NI,Versammlungsgesetz (VersG),X
542,22.02.2016,Aurich,NI,Volksverhetzung § 130 StGB,X
543,22.02.2016,Hameln,NI,Beleidigung § 185 StGB,X
544,22.02.2016,Ludwigshafen am Rhein,RP,Volksverhetzung § 130 StGB,X
545,22.02.2016,Großröhrsdorf,SN,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
546,23.02.2016,Wittstock,BB,Sachbeschädigung § 303 StGB,X
547,23.02.2016,Warngau,BY,Volksverhetzung § 130 StGB,X
548,23.02.2016,Heilsbronn,BY,Volksverhetzung § 130 StGB,X
549,23.02.2016,Beratzhausen,BY,Volksverhetzung § 130 StGB,
550,23.02.2016,Neustadt (Hessen),HE,Volksverhetzung § 130 StGB,X
551,23.02.2016,Wismar,MV,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
552,23.02.2016,Lauenau,NI,Volksverhetzung § 130 StGB,X
553,23.02.2016,Duisburg,NW,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
554,23.02.2016,Sankt Michaelisdonn,SH,Sachbeschädigung § 303 StGB,X
555,23.02.2016,Sankt Michaelisdonn,SH,Sachbeschädigung § 303 StGB,X
556,23.02.2016,Eutin,SH,"Verbreiten von Propagandamit­teln verfassungswidriger Organi­sationen § 86 StGB",X
557,23.02.2016,Dresden,SN,Volksverhetzung § 130 StGB,X
558,23.02.2016,Bad Frankenhausen,TH,Körperverletzung § 223 StGB,X
559,23.02.2016,Weimar,TH,Volksverhetzung § 130 StGB,X
560,24.02.2016,Bernburg/Saale,ST,"Gefährliche Körperverletzung§ 224 StGB",X
561,24.02.2016,Berlin,BR,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
562,24.02.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
563,24.02.2016,"Weilheim inOberbayern",BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
564,24.02.2016,"Weilheim inOberbayern",BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
565,24.02.2016,Wielenbach,BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
566,24.02.2016,Wielenbach,BY,Sachbeschädigung § 303 StGB,X
567,24.02.2016,Wielenbach,BY,Sachbeschädigung § 303 StGB,X
568,24.02.2016,Wielenbach,BY,Sachbeschädigung § 303 StGB,X
569,24.02.2016,Herzogenaurach,BY,"Beschimpfung von Bekenntnis­sen, Religionsgesellschaften undWeltanschauungsvereinigungen§ 166 StGB",X
570,24.02.2016,Bremen,HB,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
571,24.02.2016,Krummhörn,NI,Brandstiftung § 306 StGB,X
572,24.02.2016,Troisdorf,NW,Beleidigung § 185 StGB,X
573,24.02.2016,Sankt Michaelisdonn,SH,Sachbeschädigung § 303 StGB,X
574,24.02.2016,Bad Schwartau,SH,Sachbeschädigung § 303 StGB,X
575,24.02.2016,Sankt Michaelisdonn,SH,Sachbeschädigung § 303 StGB,X
576,24.02.2016,Sankt Wendel,SL,Volksverhetzung § 130 StGB,X
577,24.02.2016,Stolpen,SN,"Verfassungsfeindliche Verun­glimpfung von Verfassungsorga­nen § 90b StGB",
578,24.02.2016,Falkenstein/Vogtland,SN,Volksverhetzung § 130 StGB,X
579,25.02.2016,Neustadt bei Coburg,BY,"Sexuelle Nötigung; Vergewalti­gung § 177 StGB",X
580,25.02.2016,Bad Tölz,BY,Volksverhetzung § 130 StGB,X
581,25.02.2016,München,BY,Volksverhetzung § 130 StGB,X
582,25.02.2016,Kaufbeuren,BY,Beleidigung § 185 StGB,X
583,25.02.2016,Sigmarszell,BY,Volksverhetzung § 130 StGB,X
584,25.02.2016,Burtenbach,BY,Volksverhetzung § 130 StGB,X
585,25.02.2016,Münster,NW,Volksverhetzung § 130 StGB,X
586,26.02.2016,Cottbus,BB,"Gefährliche Körperverletzung§ 224 StGB",X
587,26.02.2016,Storkow,BB,Körperverletzung § 223 StGB,X
588,26.02.2016,Lübbenau/Spreewald,BB,Volksverhetzung § 130 StGB,X
589,26.02.2016,Berlin,BR,"Gefährliche Körperverletzung§ 224 StGB",X
590,26.02.2016,Stuttgart,BW,Bedrohung § 241 StGB,X
591,26.02.2016,Geisenfeld,BY,Volksverhetzung § 130 StGB,X
592,26.02.2016,Erding,BY,Beleidigung § 185 StGB,X
593,26.02.2016,Regen,BY,Volksverhetzung § 130 StGB,X
594,26.02.2016,Stralsund,MV,"Gefährliche Körperverletzung§ 224 StGB",X
595,26.02.2016,Hennstedt,SH,Volksverhetzung § 130 StGB,X
596,26.02.2016,Kiel,SH,Volksverhetzung § 130 StGB,X
597,26.02.2016,Dresden,SN,Sachbeschädigung § 303 StGB,X
598,27.02.2016,Berlin,BR,"Räuberischer Diebstahl § 252StGB",X
599,27.02.2016,Berlin,BR,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
600,27.02.2016,Raisting,BY,Sachbeschädigung § 303 StGB,X
601,27.02.2016,Celle,NI,Sachbeschädigung § 303 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
602,27.02.2016,Lüchow,NI,Volksverhetzung § 130 StGB,X
603,27.02.2016,Dinslaken,NW,Beleidigung § 185 StGB,X
604,27.02.2016,Ludwigshafen am Rhein,RP,Volksverhetzung § 130 StGB,X
605,27.02.2016,Lübeck,SH,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
606,27.02.2016,Eutin,SH,Volksverhetzung § 130 StGB,X
607,27.02.2016,Dresden,SN,Nötigung § 240 StGB,X
608,27.02.2016,Pirna,SN,"Gefährliche Körperverletzung§ 224 StGB",X
609,27.02.2016,Chemnitz,SN,Volksverhetzung § 130 StGB,X
610,27.02.2016,Gera,TH,Bedrohung § 241 StGB,X
611,28.02.2016,Cottbus,BB,Körperverletzung § 223 StGB,X
612,28.02.2016,Gransee,BB,"Gefährliche Körperverletzung§ 224 StGB",X
613,28.02.2016,Berlin,BR,Beleidigung § 185 StGB,
614,28.02.2016,Konstanz,BW,Beleidigung § 185 StGB,
615,28.02.2016,Gerlingen,BW,Beleidigung § 185 StGB,
616,28.02.2016,Radolfzell am Bodensee,BW,Beleidigung § 185 StGB,
617,28.02.2016,Gaienhofen,BW,Beleidigung § 185 StGB,
618,28.02.2016,Konstanz,BW,Volksverhetzung § 130 StGB,
619,28.02.2016,Konstanz,BW,Beleidigung § 185 StGB,
620,28.02.2016,Konstanz,BW,Beleidigung § 185 StGB,
621,28.02.2016,Konstanz,BW,Beleidigung § 185 StGB,
622,28.02.2016,Konstanz,BW,Beleidigung § 185 StGB,
623,28.02.2016,Konstanz,BW,Beleidigung § 185 StGB,
624,28.02.2016,Konstanz,BW,Beleidigung § 185 StGB,
625,28.02.2016,Konstanz,BW,Beleidigung § 185 StGB,
626,28.02.2016,Karlsruhe,BW,Volksverhetzung § 130 StGB,X
627,28.02.2016,Marxheim,BY,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
628,28.02.2016,Landsberg am Lech,BY,Volksverhetzung § 130 StGB,X
629,28.02.2016,Hamburg,HH,"Gefährliche Körperverletzung§ 224 StGB",X
630,28.02.2016,Niederwörresbach,RP,Volksverhetzung § 130 StGB,X
631,28.02.2016,Chemnitz,SN,"Gefährliche Körperverletzung§ 224 StGB",X
632,29.02.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
633,29.02.2016,Berlin,BR,Sachbeschädigung § 303 StGB,
634,29.02.2016,Berlin,BR,Sachbeschädigung § 303 StGB,
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
635,29.02.2016,Berlin,BR,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
636,29.02.2016,Berlin,BR,Versammlungsgesetz (VersG),X
637,29.02.2016,Lahr/Schwarzwald,BW,Volksverhetzung § 130 StGB,X
638,29.02.2016,Konstanz,BW,Beleidigung § 185 StGB,
639,29.02.2016,Konstanz,BW,Beleidigung § 185 StGB,
640,29.02.2016,Augsburg,BY,Volksverhetzung § 130 StGB,X
641,29.02.2016,Kronach,BY,Volksverhetzung § 130 StGB,X
642,29.02.2016,Bad Wörishofen,BY,Beleidigung § 185 StGB,
643,29.02.2016,Bad Brückenau,BY,Üble Nachrede § 186 StGB,X
644,29.02.2016,Waldbreitbach,RP,"Gefährliche Körperverletzung§ 224 StGB",X
645,29.02.2016,Mönkeberg,SH,Sachbeschädigung § 303 StGB,X
646,29.02.2016,Sülfeld,SH,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
647,29.02.2016,Pinneberg,SH,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
648,29.02.2016,Kamenz,SN,Sachbeschädigung § 303 StGB,X
649,29.02.2016,Jena,TH,Bedrohung § 241 StGB,X
650,01.03.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
651,01.03.2016,Konstanz,BW,Beleidigung § 185 StGB,
652,01.03.2016,Treuchtlingen,BY,Volksverhetzung § 130 StGB,X
653,01.03.2016,Schwandorf,BY,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
654,01.03.2016,Schweitenkirchen,BY,Volksverhetzung § 130 StGB,X
655,01.03.2016,München,BY,Volksverhetzung § 130 StGB,X
656,01.03.2016,Eltmann,BY,Beleidigung § 185 StGB,X
657,01.03.2016,Lichtenfels,HE,Volksverhetzung § 130 StGB,X
658,01.03.2016,Stralsund,MV,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
659,01.03.2016,Lübeck,SH,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
660,01.03.2016,Lübeck,SH,Sachbeschädigung § 303 StGB,X
661,01.03.2016,Eutin,SH,Volksverhetzung § 130 StGB,X
662,01.03.2016,Döbeln,SN,Sachbeschädigung § 303 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
663,02.03.2016,Storkow,BB,"Gefährliche Körperverletzung§ 224 StGB",X
664,02.03.2016,Beeskow,BB,Volksverhetzung § 130 StGB,X
665,02.03.2016,Guben,BB,"Gefährliche Körperverletzung§ 224 StGB",X
666,02.03.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
667,02.03.2016,Ansbach,BY,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",X
668,02.03.2016,München,BY,Körperverletzung § 223 StGB,X
669,02.03.2016,Einbeck,NI,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
670,02.03.2016,Wuppertal,NW,Sachbeschädigung § 303 StGB,X
