key;name;kreis_type;year;crime;crime_noasyl;total_solved;noasyl_solved;hom;arson
05513;Gelsenkirchen;KfS;2016;24434;24369;51,1;50,9;12;56
05515;Münster;KfS;2016;29738;29481;43,7;43,2;3;35
05554;Borken;K;2016;23641;23584;49,9;49,7;5;89
05558;Coesfeld;K;2016;13104;13061;52,1;51,9;6;47
05562;Recklinghausen;K;2016;45866;45795;51,9;51,8;10;121
05566;Steinfurt;K;2016;26010;25924;51,2;51,1;1;74
05570;Warendorf;K;2016;14966;14875;53,3;53;1;24
05711;Bielefeld;KfS;2016;28494;28026;58,1;57,4;12;73
05754;Gütersloh;K;2016;18480;18419;53,3;53,1;4;38
05758;Herford;K;2016;12770;12741;52,9;52,8;2;39
05762;Höxter;K;2016;7040;7017;57,3;57,1;4;44
05766;Lippe;K;2016;14344;14281;55,2;55;11;83
05770;Minden-Lübbecke;K;2016;16049;15825;52,2;51,6;3;23
05774;Paderborn;K;2016;20502;20111;55,5;54,7;5;65
05911;Bochum;KfS;2016;35357;35250;53,4;53,3;5;53
05913;Dortmund;KfS;2016;76259;74774;53;52;22;130
05914;Hagen;KfS;2016;16427;16257;57,3;56,8;3;28
05915;Hamm;KfS;2016;15441;15250;53,1;52,5;5;45
05916;Herne;KfS;2016;14238;14216;51,3;51,2;7;33
05954;Ennepe-Ruhr-Kreis;K;2016;20676;20617;56,6;56,5;3;74
05958;Hochsauerlandkreis;K;2016;12301;12218;54,7;54,4;10;77
05962;Märkischer Kreis;K;2016;25338;25294;54,4;54,3;5;111
05966;Olpe;K;2016;6646;6605;60,8;60,6;0;33
05970;Siegen-Wittgenstein;K;2016;16928;16799;60,5;60,2;4;49
05974;Soest;K;2016;17950;17883;55,5;55,4;2;94
05978;Unna;K;2016;28495;28382;47,9;47,7;5;132
06411;Darmstadt;KfS;2016;11681;11327;60,8;59,5;6;26
06412;Frankfurt am Main;KfS;2016;114819;96964;61;53,8;40;206
06413;Offenbach am Main;KfS;2016;11607;11248;65,4;64,3;5;40
06414;Wiesbaden;KfS;2016;23276;23017;61,4;60,9;12;29
06431;Bergstraße;LK;2016;10456;10356;60;59,6;8;48
06432;Darmstadt-Dieburg;LK;2016;9954;9766;56,5;55,7;4;50
06433;Groß-Gerau;LK;2016;11648;11477;61;60,4;9;52
06434;Hochtaunuskreis;LK;2016;10834;10775;58,8;58,6;8;40
06435;Main-Kinzig-Kreis;LK;2016;18951;18298;62,7;61,4;19;93
06436;Main-Taunus-Kreis;LK;2016;11398;11234;58,2;57,6;4;22
06437;Odenwaldkreis;LK;2016;2722;2703;67,9;67,7;2;15
06438;Offenbach;LK;2016;16811;16578;57,5;56,9;13;45
06439;Rheingau-Taunus-Kreis;LK;2016;5768;5688;59,9;59,3;1;27
