key;name;year;for_pop;for_anwerber;for_EU28;for_EUeast;for_notEU;for_syria;for_afghan;for_iraq;ss_total;ss_anwerber;ss_syria;ss_afghan;ss_iraq;ss_total_accept;ss_anwerber_accept;ss_syria_accept;ss_afghan_accept;ss_iraq_accept;ss_total_denied;ss_anwerber_denied;ss_syria_denied;ss_afghan_denied;ss_iraq_denied;ss_total_duldung;ss_anwerber_duldung;ss_syria_duldung;ss_afghan_duldung;ss_iraq_duldung
03254;Hildesheim  ;2013;15355;6960;5565;2685;9790;465;130;400;2480;745;335;90;325;1715;540;270;55;280;415;195;5;20;20;395;185;0;20;20
03255;Holzminden  ;2013;3095;1670;895;305;2200;110;25;10;360;80;85;20;10;235;50;75;15;5;40;25;0;0;0;40;20;0;0;0
03256;Nienburg (Weser)  ;2013;5830;2090;2365;1435;3465;465;40;110;1050;310;345;25;80;810;240;300;15;60;95;40;0;0;10;80;35;0;0;10
03257;Schaumburg  ;2013;8855;4915;3690;1710;5160;165;45;95;1080;485;120;35;70;675;305;100;15;50;240;145;0;5;20;225;140;0;0;20
033;Statistische Region Lüneburg ;2013;77840;27885;35020;17795;42820;1340;850;885;11845;5015;935;680;630;7475;3775;775;365;435;2070;915;40;85;130;1875;815;35;75;120
03351;Celle  ;2013;8520;2970;3615;1465;4905;245;20;285;1640;810;185;15;195;1250;700;165;10;140;215;95;5;0;25;185;80;5;0;20
03352;Cuxhaven  ;2013;8660;4505;4445;1305;4215;85;95;65;1300;635;65;85;50;750;460;55;30;30;270;110;10;20;15;255;105;5;20;15
03353;Harburg  ;2013;11650;3920;4795;2435;6855;120;180;40;1540;420;55;130;30;870;320;50;80;15;275;85;5;5;10;250;80;5;5;10
03354;Lüchow-Dannenberg  ;2013;1880;420;1110;810;770;30;70;0;260;105;25;60;0;150;75;20;25;0;45;25;0;5;0;45;25;0;5;0
03355;Lüneburg  ;2013;7515;2475;3090;1615;4425;130;120;125;1225;365;105;95;85;740;280;60;55;70;200;75;10;5;15;190;70;10;5;15
03356;Osterholz  ;2013;4490;1755;1705;890;2785;90;35;30;885;485;70;30;30;645;365;65;20;15;130;90;0;10;5;115;80;0;10;5
03357;Rotenburg (Wümme)  ;2013;7205;1840;3715;1970;3490;85;55;40;1090;450;50;40;30;705;360;35;30;20;140;70;0;0;10;115;55;0;0;10
