key;wahlberechtigte;wähler_14;ungültige_14;gültige_14;cdu_14;spd_14;grüne_14;fdp_14;die linke_14;csu_14;freie wähler_14;rep_14;tierschutzpartei_14;familie_14;piraten_14;ödp_14;pbc_14;volksabstimmung_14;bp_14;cm_14;auf_14;dkp_14;büso_14;psg_14;afd_14;pro nrw_14;mlpd_14;npd_14;die partei_14
9178;119723;51944;247;51697;0;8096;8467;1456;1559;18528;3380;173;639;201;636;1672;55;108;906;50;136;20;12;10;4998;19;13;243;320
9179;155035;71977;205;71772;0;15044;10373;2572;1834;26159;2963;261;821;194;1078;1876;68;127;893;61;233;24;15;21;6591;26;16;227;295
9180;65622;28061;92;27969;0;3574;2585;971;554;12599;1415;57;322;66;156;1482;29;88;671;34;68;5;2;12;3079;13;8;102;77
9181;88105;38543;112;38431;0;6341;6136;1193;1000;15202;1268;127;467;128;360;1548;34;73;899;64;156;14;9;6;3125;6;6;131;138
9182;72572;30495;106;30389;0;4505;4284;1348;547;12608;1316;82;373;81;239;702;23;67;814;30;86;9;10;6;3052;9;7;92;99
9183;84607;31554;113;31441;0;4055;2904;735;737;15077;1457;168;346;109;237;1382;42;59;926;50;109;13;32;6;2730;11;5;152;99
9184;235289;116090;360;115730;0;26255;16371;5931;2722;41772;3099;488;1276;303;1515;2974;79;168;1265;77;277;33;31;18;10247;42;18;281;488
9185;70878;29953;145;29808;0;4091;2127;604;621;15350;2148;147;314;98;262;512;29;74;484;38;75;12;6;3;2514;12;6;174;107
9186;91211;39910;197;39713;0;6820;3544;956;886;18471;1903;201;412;160;400;1188;62;130;697;52;101;17;8;10;3200;11;6;273;205
9187;191063;79735;248;79487;0;11167;10076;2310;1841;34166;2965;655;841;213;716;2918;84;144;2905;111;323;33;36;16;7391;24;16;264;272
9188;96460;49854;126;49728;0;9420;8185;3363;1129;17748;1415;139;606;124;551;1313;21;69;649;32;121;13;13;9;4499;8;8;118;175
9189;132926;52553;157;52396;0;8070;7962;1307;1288;22251;2001;289;529;131;380;2003;102;98;1644;106;238;10;49;11;3544;12;11;205;155
9190;100654;44488;141;44347;0;7267;5558;1338;1164;17200;2001;138;488;169;414;2140;37;114;1178;47;184;19;11;10;4572;21;7;142;128
9261;48822;18488;57;18431;0;3227;2703;621;660;7106;765;64;282;42;242;601;12;39;254;13;41;16;7;4;1525;6;7;82;112
9262;38468;14490;48;14442;0;2963;1980;596;613;5403;265;51;158;35;202;653;8;17;130;18;13;6;2;3;1156;5;6;67;92
9263;34667;11029;51;10978;0;1796;725;280;321;5450;308;62;121;20;87;547;14;38;179;8;9;4;4;6;804;4;7;143;41
9271;91418;27570;93;27477;0;3849;1757;531;669;14167;1692;150;300;75;187;714;55;69;488;43;44;5;1;2;2348;9;7;245;70
